original_id,metis_id
1,1
2,2
9,3
10,4
12,5
13,6
14,7
15,8
16,9
18,10
19,11
20,12
21,13
22,14
23,15
24,16
25,17
26,18
27,19
28,20
29,21
30,22
31,23
32,24
33,25
34,26
35,27
36,28
37,29
38,30
39,31
40,32
41,33
43,34
47,35
48,36
49,37
50,38
51,39
52,40
53,41
54,42
55,43
56,44
58,45
59,46
60,47
70,48
71,49
72,50
81,51
86,52
87,53
88,54
89,55
90,56
91,57
92,58
93,59
94,60
95,61
97,62
98,63
100,64
101,65
102,66
103,67
104,68
105,69
107,70
108,71
109,72
111,73
112,74
113,75
114,76
115,77
116,78
117,79
118,80
119,81
120,82
123,83
124,84
125,85
126,86
127,87
128,88
130,89
131,90
132,91
133,92
134,93
135,94
136,95
140,96
141,97
142,98
143,99
146,100
147,101
148,102
150,103
151,104
152,105
153,106
154,107
155,108
156,109
157,110
158,111
159,112
160,113
161,114
162,115
163,116
164,117
165,118
166,119
167,120
172,121
173,122
174,123
175,124
176,125
177,126
178,127
181,128
182,129
183,130
185,131
186,132
187,133
189,134
190,135
191,136
196,137
197,138
199,139
202,140
203,141
204,142
205,143
207,144
208,145
210,146
211,147
212,148
213,149
214,150
215,151
216,152
217,153
218,154
219,155
220,156
221,157
222,158
223,159
224,160
225,161
226,162
229,163
230,164
231,165
238,166
239,167
240,168
241,169
242,170
244,171
246,172
247,173
248,174
249,175
250,176
251,177
257,178
258,179
259,180
262,181
265,182
266,183
267,184
268,185
269,186
270,187
271,188
272,189
273,190
274,191
275,192
276,193
277,194
278,195
279,196
280,197
283,198
284,199
285,200
286,201
287,202
288,203
290,204
291,205
292,206
293,207
301,208
302,209
304,210
306,211
307,212
308,213
309,214
310,215
311,216
312,217
313,218
314,219
316,220
317,221
318,222
319,223
320,224
321,225
322,226
323,227
324,228
325,229
326,230
327,231
328,232
329,233
330,234
331,235
332,236
333,237
334,238
335,239
336,240
337,241
338,242
339,243
341,244
343,245
344,246
345,247
346,248
347,249
348,250
350,251
351,252
353,253
354,254
355,255
356,256
357,257
358,258
359,259
360,260
361,261
362,262
363,263
364,264
366,265
367,266
368,267
369,268
372,269
373,270
374,271
375,272
377,273
378,274
379,275
381,276
382,277
383,278
384,279
387,280
388,281
389,282
390,283
391,284
392,285
393,286
394,287
395,288
396,289
397,290
398,291
399,292
400,293
401,294
402,295
403,296
405,297
406,298
407,299
408,300
409,301
410,302
411,303
412,304
414,305
415,306
416,307
417,308
419,309
420,310
421,311
427,312
429,313
430,314
432,315
433,316
434,317
435,318
438,319
439,320
440,321
443,322
444,323
445,324
462,325
463,326
466,327
467,328
468,329
471,330
472,331
473,332
474,333
475,334
476,335
477,336
478,337
479,338
480,339
481,340
482,341
483,342
486,343
487,344
488,345
489,346
490,347
491,348
492,349
493,350
495,351
496,352
498,353
501,354
506,355
509,356
513,357
514,358
515,359
516,360
517,361
518,362
521,363
522,364
523,365
525,366
526,367
527,368
528,369
529,370
533,371
534,372
535,373
537,374
538,375
539,376
540,377
545,378
546,379
547,380
549,381
550,382
551,383
552,384
553,385
554,386
558,387
563,388
566,389
567,390
570,391
571,392
572,393
573,394
575,395
576,396
577,397
578,398
579,399
580,400
581,401
582,402
583,403
585,404
586,405
587,406
590,407
593,408
594,409
595,410
596,411
597,412
598,413
599,414
602,415
604,416
605,417
607,418
608,419
610,420
611,421
613,422
617,423
622,424
623,425
624,426
627,427
629,428
631,429
632,430
633,431
634,432
635,433
636,434
637,435
638,436
639,437
640,438
641,439
642,440
643,441
644,442
645,443
646,444
648,445
649,446
650,447
651,448
652,449
653,450
654,451
655,452
656,453
657,454
658,455
659,456
660,457
661,458
662,459
663,460
664,461
665,462
666,463
667,464
668,465
669,466
670,467
671,468
672,469
673,470
675,471
676,472
677,473
678,474
680,475
682,476
683,477
684,478
685,479
686,480
687,481
688,482
689,483
694,484
695,485
696,486
699,487
701,488
705,489
706,490
708,491
710,492
712,493
713,494
714,495
715,496
716,497
717,498
718,499
719,500
720,501
721,502
722,503
725,504
726,505
727,506
728,507
729,508
730,509
731,510
732,511
733,512
734,513
735,514
738,515
740,516
741,517
744,518
745,519
746,520
747,521
750,522
752,523
753,524
754,525
755,526
757,527
758,528
759,529
760,530
761,531
762,532
763,533
765,534
766,535
767,536
768,537
770,538
771,539
773,540
774,541
775,542
776,543
777,544
778,545
779,546
780,547
781,548
782,549
783,550
784,551
785,552
786,553
788,554
790,555
793,556
794,557
795,558
796,559
797,560
799,561
800,562
801,563
805,564
